Stage,Team 1,Team 2,Score,Winner,Status,Notes
Round Robin (Pool A),Anjali & Jinisha,Kalash & Nikita,11-0,Anjali & Jinisha,COMPLETED,
Round Robin (Pool A),Anjali & Jinisha,Riddhima Gungewad & Laxmi Zambre,11-0,Anjali & Jinisha,COMPLETED,
Round Robin (Pool A),Kalash & Nikita,Riddhima Gungewad & Laxmi Zambre,11-7,Kalash & Nikita,COMPLETED,
Round Robin (Pool B),Aaradhya Satpute & Aadya Vinod,Demeera Gupta & Sarrah Hakim,11-0,Aaradhya Satpute & Aadya Vinod,COMPLETED,
Round Robin (Pool B),Aaradhya Satpute & Aadya Vinod,Kashish & Kanak,11-8,Aaradhya Satpute & Aadya Vinod,COMPLETED,
Round Robin (Pool B),Demeera Gupta & Sarrah Hakim,Kashish & Kanak,6-11,Kashish & Kanak,COMPLETED,
Semi Finals,Anjali & Jinisha,Kashish & Kanak,11-2,Anjali & Jinisha,COMPLETED,
Semi Finals,Aaradhya Satpute & Aadya Vinod,Kalash & Nikita,11-5,Aaradhya Satpute & Aadya Vinod,COMPLETED,
Finals,Anjali & Jinisha,Aaradhya Satpute & Aadya Vinod,15-12,,READY,
