Stage,Team 1,Team 2,Score,Winner,Status,Notes
Round Robin (Pool A),Laishram Linda & Anshika Kanojia,Anuja Maheshwari & Vrushali Thakare,0-11,Anuja Maheshwari & Vrushali Thakare,COMPLETED,
Round Robin (Pool A),Jinisha & Arpana Choudhary,Anjali & Sakshi,11-10,Jinisha & Arpana Choudhary,COMPLETED,
Round Robin (Pool A),Laishram Linda & Anshika Kanojia,Jinisha & Arpana Choudhary,3-11,Jinisha & Arpana Choudhary,COMPLETED,
Round Robin (Pool A),Anuja Maheshwari & Vrushali Thakare,Anjali & Sakshi,11-7,Anuja Maheshwari & Vrushali Thakare,COMPLETED,
Round Robin (Pool A),Laishram Linda & Anshika Kanojia,Anjali & Sakshi,0-11,Anjali & Sakshi,COMPLETED,
Round Robin (Pool A),Anuja Maheshwari & Vrushali Thakare,Jinisha & Arpana Choudhary,11-3,Anuja Maheshwari & Vrushali Thakare,COMPLETED,
